image_name,type,clss,img_shp_0_init,img_shape1_init,img_shp_0,img_shp_1,sh0_start,sh1_start,sh0_end,sh1_end
1197.jpg,train,0,4128,3096,255,192,1,1,254,191
1199.jpg,train,0,3264,2448,163,141,34,22,133,119
12.jpg,train,0,4128,3096,255,192,59,1,254,168
1200.jpg,train,0,4128,3096,255,192,1,1,231,191
1202.jpg,train,0,4160,3120,255,192,30,1,254,191
1213.jpg,train,0,4128,3096,255,192,45,1,219,149
1214.jpg,train,0,4128,3096,255,192,25,1,194,166
1217.jpg,train,0,4160,3120,255,192,91,63,169,130
1219.jpg,train,0,4128,3096,185,192,24,1,161,142
1220.jpg,train,0,4128,3096,224,192,38,1,201,177
1223.jpg,train,0,4128,3096,255,192,48,1,205,191
1226.jpg,train,0,4128,3096,218,192,41,15,179,152
1229.jpg,train,0,4128,3096,185,184,1,29,158,172
123.jpg,train,0,4160,3120,255,192,1,1,254,191
1230.jpg,train,0,4128,3096,255,192,13,1,227,191
1236.jpg,train,0,4128,3096,255,192,22,27,254,191
1239.jpg,train,0,4128,3096,255,192,1,42,168,170
1242.jpg,train,0,4160,3120,255,192,1,1,254,191
1243.jpg,train,0,4128,3096,221,178,1,1,220,158
1245.jpg,train,0,4128,3096,172,187,1,25,171,170
125.jpg,train,0,4128,3096,255,192,1,1,213,191
1251.jpg,train,0,640,480,255,192,47,12,202,146
1253.jpg,train,0,4128,3096,157,173,1,1,122,155
1254.jpg,train,0,4128,3096,255,192,15,1,243,177
1257.jpg,train,0,4128,3096,255,192,65,18,205,191
1259.jpg,train,0,4128,3096,255,192,17,1,254,191
1263.jpg,train,0,3264,2448,255,192,1,1,254,180
1267.jpg,train,0,4128,3096,160,175,1,1,122,156
1276.jpg,train,0,4128,3096,183,184,35,1,150,131
1277.jpg,train,0,4160,3120,255,192,62,41,168,122
1278.jpg,train,0,4128,3096,255,192,1,1,229,191
1279.jpg,train,0,3264,2448,255,192,35,20,254,171
1281.jpg,train,0,4128,3096,203,192,1,1,202,191
1285.jpg,train,0,3264,2448,178,171,41,38,128,146
1288.jpg,train,0,3264,2448,148,150,20,32,134,137
1289.jpg,train,0,4128,3096,255,192,1,1,254,191
129.jpg,train,0,4128,3096,255,192,1,1,254,191
1298.jpg,train,0,4160,3120,255,192,49,26,254,178
13.jpg,train,0,4128,3096,255,192,1,1,254,191
1304.jpg,train,0,4160,3120,255,192,1,1,254,191
1307.jpg,train,0,3264,2448,184,170,34,58,151,169
1308.jpg,train,0,4128,3096,255,192,35,23,254,191
1311.jpg,train,0,3264,2448,219,187,103,1,206,151
1314.jpg,train,0,3264,2448,180,182,29,30,153,181
132.jpg,train,0,4128,3096,255,192,1,1,244,191
1320.jpg,train,0,4128,3096,255,192,1,25,192,171
1325.jpg,train,0,4128,3096,255,192,46,39,230,191
1326.jpg,train,0,3264,2448,255,192,1,1,187,191
1333.jpg,train,0,4128,3096,255,192,1,1,239,191
1336.jpg,train,0,4128,3096,255,192,1,1,254,191
1339.jpg,train,0,4128,3096,250,192,46,19,187,167
134.jpg,train,0,4128,3096,255,192,119,34,195,114
1344.jpg,train,0,3264,2448,210,177,53,1,209,156
1346.jpg,train,0,4160,3120,153,158,1,40,113,123
1361.jpg,train,0,3264,2448,198,166,20,30,154,135
1363.jpg,train,0,4160,3120,255,192,1,1,254,191
1367.jpg,train,0,4128,3096,255,192,1,1,254,191
1369.jpg,train,0,4128,3096,255,192,60,17,208,176
137.jpg,train,0,3264,2448,255,153,35,1,254,152
1370.jpg,train,0,3264,2448,255,187,1,24,254,186
1374.jpg,train,0,3264,2448,180,175,22,72,106,124
1377.jpg,train,0,4128,3096,255,192,67,1,254,149
138.jpg,train,0,4128,3096,255,192,48,25,212,177
1384.jpg,train,0,4128,3096,255,192,38,1,243,156
1389.jpg,train,0,4128,3096,255,192,1,1,232,191
139.jpg,train,0,4128,3096,255,192,1,1,221,191
1390.jpg,train,0,4128,3096,255,192,1,1,254,191
1392.jpg,train,0,4160,3120,255,192,1,1,233,174
1393.jpg,train,0,4128,3096,255,192,50,24,192,174
1396.jpg,train,0,640,480,255,192,1,1,196,156
14.jpg,train,0,3264,2448,135,137,16,1,134,109
1402.jpg,train,0,4128,3096,255,192,18,1,231,191
1404.jpg,train,0,4160,3120,255,192,1,1,235,191
1405.jpg,train,0,4128,3096,255,192,1,1,254,191
1408.jpg,train,0,4128,3096,255,192,1,1,254,191
1411.jpg,train,0,4160,3120,152,156,33,59,109,107
1412.jpg,train,0,4128,3096,240,192,42,11,202,191
1414.jpg,train,0,4128,3096,207,192,1,1,136,157
1417.jpg,train,0,4160,3120,255,192,42,27,137,154
142.jpg,train,0,4128,3096,153,192,1,1,152,160
1427.jpg,train,0,4128,3096,220,190,45,30,176,151
1428.jpg,train,0,4160,3120,255,192,1,1,254,191
1429.jpg,train,0,3264,2448,230,160,35,1,229,159
1430.jpg,train,0,4128,3096,255,192,37,23,224,165
1437.jpg,train,0,4128,3096,255,192,21,19,205,191
1439.jpg,train,0,4160,3120,255,192,1,1,254,191
144.jpg,train,0,4128,3096,236,164,84,1,235,146
1440.jpg,train,0,4128,3096,255,192,1,1,230,191
1445.jpg,train,0,4128,3096,255,192,1,1,158,158
1449.jpg,train,0,3264,2448,175,175,20,49,151,161
1452.jpg,train,0,4128,3096,155,156,1,24,135,155
1455.jpg,train,0,4160,3120,255,192,1,1,254,191
1456.jpg,train,0,4128,3096,255,192,1,1,222,191
1464.jpg,train,0,4128,3096,255,191,24,1,224,190
1465.jpg,train,0,4128,3096,255,192,1,1,254,153
1466.jpg,train,0,4128,3096,216,184,1,21,185,183
1468.jpg,train,0,3264,2448,213,183,17,11,196,163
1473.jpg,train,0,4128,3096,255,192,1,1,234,191
1474.jpg,train,0,4128,3096,255,192,1,1,254,191
1476.jpg,train,0,4160,3120,255,192,51,26,205,171
148.jpg,train,0,4128,3096,255,192,87,40,254,151
1488.jpg,train,0,4128,3096,217,184,20,11,216,183
1491.jpg,train,0,3264,2448,165,172,47,24,145,157
1493.jpg,train,0,4160,3120,255,192,22,1,205,191
1495.jpg,train,0,4160,3120,193,192,62,54,146,112
1499.jpg,train,0,4128,3096,255,192,1,1,254,191
1504.jpg,train,0,4128,3096,203,192,29,1,190,154
1506.jpg,train,0,4128,3096,255,192,1,1,254,191
1516.jpg,train,0,3096,4128,191,256,1,17,190,184
1518.jpg,train,0,4128,3096,213,187,40,1,189,161
1523.jpg,train,0,4160,3120,255,192,47,1,254,191
1526.jpg,train,0,4128,3096,255,192,53,33,192,151
1535.jpg,train,0,4128,3096,255,192,1,1,254,191
1538.jpg,train,0,3264,2448,182,167,1,30,123,166
1539.jpg,train,0,4128,3096,255,192,1,1,254,191
1541.jpg,train,0,4160,3120,255,192,1,1,254,191
1547.jpg,train,0,4128,3096,212,187,13,1,211,186
1548.jpg,train,0,4128,3096,255,192,41,1,254,191
1556.jpg,train,0,4128,3096,255,192,59,38,204,191
1562.jpg,train,0,4160,3120,255,192,1,1,254,191
1565.jpg,train,0,4128,3096,251,192,46,1,203,151
1566.jpg,train,0,4160,3120,255,192,1,1,254,191
157.jpg,train,0,4128,3096,234,191,16,1,215,190
1570.jpg,train,0,4128,3096,221,162,74,47,180,161
1574.jpg,train,0,4128,3096,255,192,1,1,232,191
1580.jpg,train,0,4160,3120,255,192,1,16,237,191
160.jpg,train,0,4128,3096,255,192,72,34,185,161
1601.jpg,train,0,4128,3096,255,192,1,1,254,191
1626.jpg,train,0,4128,3096,255,192,16,1,201,191
1633.jpg,train,0,4128,3096,253,192,59,26,232,176
164.jpg,train,0,4160,3120,255,192,1,1,188,191
1642.jpg,train,0,4160,3120,255,192,27,27,254,191
1645.jpg,train,0,4128,3096,255,192,63,78,170,191
1666.jpg,train,0,4160,3120,255,192,41,39,203,165
1671.jpg,train,0,4160,3120,255,192,32,47,204,173
1676.jpg,train,0,4128,3096,255,192,22,1,254,191
1694.jpg,train,0,4128,3096,253,192,49,1,242,191
1695.jpg,train,0,4128,3096,255,192,1,1,254,191
1704.jpg,train,0,4160,3120,255,192,1,1,254,191
1707.jpg,train,0,4128,3096,186,192,17,12,185,154
171.jpg,train,0,4128,3096,255,192,49,37,216,147
1713.jpg,train,0,4128,3096,154,155,1,1,153,154
1716.jpg,train,0,3264,2448,176,177,1,27,115,155
1717.jpg,train,0,4128,3096,218,183,71,33,174,132
1722.jpg,train,0,4160,3120,255,192,20,40,241,191
1725.jpg,train,0,4160,3120,255,192,63,40,230,157
1728.jpg,train,0,4128,3096,226,165,48,20,181,152
173.jpg,train,0,4128,3096,213,192,1,34,134,147
1730.jpg,train,0,4160,3120,255,192,1,1,254,191
1736.jpg,train,0,4128,3096,255,192,1,1,254,191
1737.jpg,train,0,3264,2448,246,152,83,16,162,151
174.jpg,train,0,4128,3096,255,192,38,1,254,191
1746.jpg,train,0,4128,3096,255,192,1,1,254,191
176.jpg,train,0,4128,3096,221,186,30,22,194,185
1769.jpg,train,0,4128,3096,175,188,34,29,145,136
177.jpg,train,0,4128,3096,255,192,62,34,199,137
1775.jpg,train,0,4128,3096,255,192,17,50,174,180
1779.jpg,train,0,4128,3096,255,192,1,37,241,191
178.jpg,train,0,4128,3096,254,189,1,19,253,188
1781.jpg,train,0,4128,3096,250,189,28,17,195,175
1785.jpg,train,0,4160,3120,255,192,79,42,227,165
1789.jpg,train,0,4160,3120,255,192,1,1,254,191
1790.jpg,train,0,4128,3096,222,189,16,14,221,163
1791.jpg,train,0,3264,2448,166,167,1,1,165,166
1793.jpg,train,0,4128,3096,232,192,1,1,203,162
1797.jpg,train,0,4128,3096,255,192,11,1,193,177
1798.jpg,train,0,4128,3096,137,191,1,54,106,190
18.jpg,train,0,4128,3096,255,192,1,1,236,191
180.jpg,train,0,4128,3096,255,192,1,1,254,156
1800.jpg,train,0,4160,3120,255,192,1,1,254,191
1801.jpg,train,0,4160,3120,255,192,1,1,254,191
1804.jpg,train,0,4160,3120,255,192,1,1,254,191
1807.jpg,train,0,4160,3120,255,192,58,32,169,120
181.jpg,train,0,3264,2448,222,192,60,50,200,175
1814.jpg,train,0,4128,3096,255,192,1,1,254,191
1826.jpg,train,0,4128,3096,255,192,54,23,201,170
1828.jpg,train,0,4128,3096,206,190,16,1,205,189
1831.jpg,train,0,4128,3096,255,192,1,16,193,191
1832.jpg,train,0,4128,3096,255,192,1,1,254,191
1863.jpg,train,0,4128,3096,156,155,28,28,128,129
1871.jpg,train,0,4128,3096,219,192,35,1,218,191
1885.jpg,train,0,4128,3096,235,192,18,11,214,191
1922.jpg,train,0,4128,3096,255,192,51,30,178,168
1924.jpg,train,0,4128,3096,234,184,1,1,182,183
1928.jpg,train,0,4160,3120,255,192,1,1,254,191
1930.jpg,train,0,4128,3096,255,192,66,54,173,162
1932.jpg,train,0,4128,3096,255,192,1,1,254,191
1936.jpg,train,0,4128,3096,255,192,1,1,238,191
1939.jpg,train,0,4128,3096,254,192,94,37,239,177
1949.jpg,train,0,4128,3096,216,182,1,1,167,168
1953.jpg,train,0,4128,3096,255,192,1,1,254,191
1956.jpg,train,0,4160,3120,255,192,1,1,244,191
1958.jpg,train,0,4128,3096,124,175,13,1,123,127
1959.jpg,train,0,4128,3096,255,192,72,1,254,151
196.jpg,train,0,3264,2448,216,188,1,1,215,126
1977.jpg,train,0,640,480,255,192,1,1,254,191
1990.jpg,train,0,4160,3120,255,192,52,22,225,177
1995.jpg,train,0,4128,3096,255,192,1,1,240,191
2.jpg,train,0,4160,3120,255,192,14,17,240,175
2003.jpg,train,0,3264,2448,188,168,1,1,187,148
2008.jpg,train,0,4128,3096,255,192,1,1,254,155
2009.jpg,train,0,4128,3096,255,192,1,1,254,191
201.jpg,train,0,4128,3096,255,192,1,1,254,191
2010.jpg,train,0,4128,3096,224,192,38,1,201,177
2011.jpg,train,0,4160,3120,255,192,1,1,254,191
2012.jpg,train,0,4128,3096,255,192,1,1,254,191
2013.jpg,train,0,4128,3096,255,192,22,1,254,191
2023.jpg,train,0,4128,3096,160,161,1,1,159,160
2028.jpg,train,0,4128,3096,146,164,1,13,113,140
2030.jpg,train,0,4128,3096,255,192,1,1,254,191
2032.jpg,train,0,4128,3096,255,192,1,1,153,181
2048.jpg,train,0,4128,3096,255,192,31,41,237,176
2054.jpg,train,0,4160,3120,255,192,1,1,254,191
2057.jpg,train,0,4128,3096,255,192,1,1,254,191
208.jpg,train,0,4128,3096,217,183,1,25,162,159
2084.jpg,train,0,4128,3096,255,192,1,29,169,191
2085.jpg,train,0,4128,3096,218,183,59,18,195,172
2093.jpg,train,0,4128,3096,255,192,1,1,254,191
2098.jpg,train,0,4128,3096,209,192,40,21,180,153
2102.jpg,train,0,4160,3120,255,192,1,1,254,191
2103.jpg,train,0,4128,3096,237,191,18,17,216,190
2110.jpg,train,0,4128,3096,255,192,43,16,219,166
2112.jpg,train,0,3264,2448,178,178,1,1,177,167
212.jpg,train,0,3264,2448,189,168,1,1,188,167
2121.jpg,train,0,4128,3096,180,185,32,29,149,130
2128.jpg,train,0,4128,3096,245,192,18,1,211,173
2134.jpg,train,0,4160,3120,255,192,1,1,254,191
2135.jpg,train,0,4128,3096,255,192,1,1,254,191
2137.jpg,train,0,4128,3096,255,192,50,1,234,165
2139.jpg,train,0,4160,3120,255,192,77,32,204,143
215.jpg,train,0,4128,3096,255,192,40,1,160,191
2152.jpg,train,0,4128,3096,255,187,86,1,244,155
2157.jpg,train,0,4128,3096,255,192,56,1,254,191
2161.jpg,train,0,4160,3120,255,192,1,26,163,191
2164.jpg,train,0,4128,3096,217,192,31,1,216,163
2166.jpg,train,0,4128,3096,255,192,1,1,254,191
2169.jpg,train,0,4128,3096,255,192,60,27,236,176
2175.jpg,train,0,4128,3096,165,167,1,1,164,166
2176.jpg,train,0,4128,3096,255,192,1,1,231,191
218.jpg,train,0,4128,3096,255,192,1,1,254,191
2184.jpg,train,0,4128,3096,255,192,1,1,254,191
2187.jpg,train,0,4128,3096,221,186,39,1,191,158
2190.jpg,train,0,4160,3120,255,192,45,19,213,169
2193.jpg,train,0,4128,3096,249,192,54,13,201,180
2198.jpg,train,0,4128,3096,207,192,25,16,206,176
2199.jpg,train,0,4128,3096,255,192,44,1,254,137
2203.jpg,train,0,4128,3096,244,192,80,38,243,191
2209.jpg,train,0,4128,3096,151,160,1,49,99,142
2210.jpg,train,0,4128,3096,255,192,1,1,192,165
222.jpg,train,0,4128,3096,182,192,16,1,160,135
2225.jpg,train,0,3264,2448,177,169,1,29,125,157
2228.jpg,train,0,4128,3096,255,192,55,19,205,172
2231.jpg,train,0,4128,3096,255,192,28,1,180,160
2234.jpg,train,0,4128,3096,255,192,1,1,254,191
2235.jpg,train,0,4128,3096,255,192,1,1,242,191
2236.jpg,train,0,4128,3096,202,187,72,14,201,172
2237.jpg,train,0,4128,3096,249,192,54,12,201,171
2239.jpg,train,0,4160,3120,255,192,1,1,254,191
2246.jpg,train,0,4128,3096,255,192,1,1,254,191
2250.jpg,train,0,4128,3096,255,192,1,1,227,191
2259.jpg,train,0,4128,3096,154,155,1,1,153,154
2260.jpg,train,0,3264,2448,171,178,1,1,170,166
2272.jpg,train,0,4160,3120,255,192,57,43,254,191
2275.jpg,train,0,4160,3120,255,192,1,1,254,191
2284.jpg,train,0,4128,3096,255,192,30,1,200,168
2289.jpg,train,0,4128,3096,255,192,1,12,254,191
229.jpg,train,0,4128,3096,255,192,15,1,254,191
2290.jpg,train,0,4128,3096,255,192,1,1,254,191
23.jpg,train,0,3264,2448,255,192,1,1,254,172
230.jpg,train,0,3264,2448,172,174,53,39,171,134
2300.jpg,train,0,4160,3120,250,192,1,1,106,191
2340.jpg,train,0,4160,3120,255,192,1,1,254,191
2344.jpg,train,0,4128,3096,154,156,25,38,130,131
2353.jpg,train,0,4128,3096,255,192,1,1,240,191
2354.jpg,train,0,4128,3096,255,192,1,1,187,143
2356.jpg,train,0,640,480,255,192,55,23,201,170
2357.jpg,train,0,3264,2448,175,177,1,14,143,127
2360.jpg,train,0,4160,3120,255,192,1,1,229,179
2362.jpg,train,0,4160,3120,255,192,1,1,254,191
2364.jpg,train,0,4128,3096,255,192,1,1,222,191
2365.jpg,train,0,4128,3096,255,192,1,1,254,191
2367.jpg,train,0,4128,3096,169,187,1,25,168,172
237.jpg,train,0,4128,3096,255,192,1,1,254,191
2377.jpg,train,0,4160,3120,255,192,1,1,254,191
2385.jpg,train,0,4160,3120,255,192,51,32,175,132
2387.jpg,train,0,3264,2448,175,176,1,1,174,175
239.jpg,train,0,3264,2448,151,153,35,36,137,138
2391.jpg,train,0,4160,3120,255,192,1,1,254,191
2394.jpg,train,0,4128,3096,216,184,14,1,185,183
2398.jpg,train,0,4128,3096,255,192,1,1,193,150
2399.jpg,train,0,4128,3096,255,192,1,1,254,191
2402.jpg,train,0,3264,2448,148,149,28,19,123,114
2410.jpg,train,0,4128,3096,213,184,57,1,212,145
2413.jpg,train,0,4128,3096,255,192,1,33,207,161
2417.jpg,train,0,4160,3120,255,192,1,1,254,191
2418.jpg,train,0,4128,3096,149,161,1,58,106,160
2420.jpg,train,0,4160,3120,255,192,1,1,254,191
2423.jpg,train,0,4160,3120,252,192,35,53,187,173
2425.jpg,train,0,4128,3096,255,192,119,34,215,115
2432.jpg,train,0,2448,3264,190,253,44,73,128,179
2433.jpg,train,0,4128,3096,255,192,1,1,254,191
2434.jpg,train,0,4128,3096,255,192,44,1,170,167
2436.jpg,train,0,4128,3096,255,192,88,1,194,150
2446.jpg,train,0,4160,3120,255,192,1,1,174,136
2448.jpg,train,0,4160,3120,255,192,127,42,254,191
245.jpg,train,0,4128,3096,249,188,36,42,210,142
2457.jpg,train,0,4128,3096,235,192,39,45,190,171
246.jpg,train,0,4160,3120,255,192,1,1,254,191
2463.jpg,train,0,4128,3096,255,192,1,1,254,191
2465.jpg,train,0,4128,3096,189,190,11,37,143,159
2466.jpg,train,0,4128,3096,208,192,16,54,169,174
2471.jpg,train,0,4128,3096,255,192,40,46,170,191
2473.jpg,train,0,4128,3096,255,192,1,1,158,154
2476.jpg,train,0,4128,3096,255,192,1,1,203,155
2477.jpg,train,0,4128,3096,233,183,32,1,202,158
248.jpg,train,0,3264,2448,228,181,23,1,201,180
2483.jpg,train,0,4128,3096,255,192,26,1,106,191
2492.jpg,train,0,4128,3096,255,192,79,1,254,154
2496.jpg,train,0,4128,3096,255,192,1,1,254,191
25.jpg,train,0,3264,2448,178,180,1,1,177,179
2507.jpg,train,0,4128,3096,255,192,19,1,193,191
2515.jpg,train,0,3264,2448,205,162,1,1,204,161
2518.jpg,train,0,4128,3096,255,192,1,1,192,191
2519.jpg,train,0,4160,3120,255,192,30,27,242,159
252.jpg,train,0,4128,3096,255,192,1,1,239,191
2524.jpg,train,0,4160,3120,255,192,1,1,254,191
2525.jpg,train,0,4160,3120,255,192,1,1,254,191
254.jpg,train,0,4128,3096,232,185,56,1,189,158
2546.jpg,train,0,3264,2448,255,192,26,20,201,177
2551.jpg,train,0,4128,3096,238,183,12,1,186,182
2554.jpg,train,0,3264,2448,253,192,45,19,204,171
2569.jpg,train,0,4128,3096,205,192,57,11,204,148
257.jpg,train,0,4128,3096,185,186,54,42,184,168
2574.jpg,train,0,4160,3120,255,192,1,27,244,191
2575.jpg,train,0,4160,3120,255,192,1,1,254,191
2588.jpg,train,0,4160,3120,255,192,1,1,243,191
2590.jpg,train,0,4128,3096,175,157,25,29,174,120
2596.jpg,train,0,4128,3096,255,192,1,1,254,191
2597.jpg,train,0,4128,3096,154,157,1,64,119,156
2598.jpg,train,0,4128,3096,255,192,1,1,254,191
2604.jpg,train,0,4128,3096,255,192,1,1,254,191
262.jpg,train,0,4128,3096,255,192,74,33,218,176
2622.jpg,train,0,4128,3096,255,191,88,1,241,156
263.jpg,train,0,3264,2448,255,192,1,1,254,191
2630.jpg,train,0,4128,3096,191,192,38,46,178,181
2633.jpg,train,0,4128,3096,248,192,54,12,198,178
2641.jpg,train,0,4128,3096,255,192,1,1,254,191
2644.jpg,train,0,4128,3096,217,184,48,42,181,130
265.jpg,train,0,4128,3096,255,192,46,24,206,171
2654.jpg,train,0,4128,3096,255,192,1,41,206,163
2659.jpg,train,0,4128,3096,255,192,1,68,254,191
2664.jpg,train,0,4128,3096,255,192,41,1,254,152
2668.jpg,train,0,3264,2448,252,153,33,1,251,152
267.jpg,train,0,3264,2448,154,147,42,25,153,123
2682.jpg,train,0,4160,3120,255,192,57,20,210,178
27.jpg,train,0,4160,3120,255,192,1,1,254,191
270.jpg,train,0,4128,3096,255,192,22,1,229,191
2713.jpg,train,0,4128,3096,250,192,51,1,206,170
2715.jpg,train,0,4128,3096,242,192,14,63,156,191
2718.jpg,train,0,4128,3096,255,192,1,1,198,155
2719.jpg,train,0,4128,3096,255,192,1,1,238,191
272.jpg,train,0,4128,3096,227,191,25,46,157,159
2722.jpg,train,0,4128,3096,220,192,54,26,196,160
2723.jpg,train,0,4160,3120,255,192,1,36,218,191
2729.jpg,train,0,3264,2448,219,169,42,14,218,168
2730.jpg,train,0,4128,3096,255,192,1,1,254,191
2732.jpg,train,0,4160,3120,255,192,59,1,237,162
2735.jpg,train,0,4128,3096,255,192,1,1,226,191
2737.jpg,train,0,3264,2448,174,177,1,1,173,176
2738.jpg,train,0,4160,3120,255,192,1,1,219,191
2749.jpg,train,0,4160,3120,255,192,39,32,200,147
2754.jpg,train,0,4128,3096,255,192,11,1,254,191
2757.jpg,train,0,4128,3096,255,192,1,1,254,191
2763.jpg,train,0,3264,2448,204,176,25,26,179,130
2764.jpg,train,0,4128,3096,255,192,1,1,254,171
2766.jpg,train,0,4128,3096,255,192,1,1,198,146
2771.jpg,train,0,4128,3096,255,192,1,1,243,191
2786.jpg,train,0,3264,2448,235,153,1,1,234,152
2789.jpg,train,0,4128,3096,255,192,1,1,254,191
2790.jpg,train,0,4128,3096,255,192,1,1,254,191
28.jpg,train,0,4160,3120,255,192,1,1,254,191
2808.jpg,train,0,4128,3096,151,152,21,34,150,151
281.jpg,train,0,4128,3096,220,189,1,25,126,160
2810.jpg,train,0,4128,3096,255,192,57,1,229,117
2811.jpg,train,0,4128,3096,255,192,1,1,254,191
2815.jpg,train,0,4128,3096,255,192,26,1,225,191
2824.jpg,train,0,4128,3096,157,153,1,11,156,152
2825.jpg,train,0,4128,3096,218,192,51,1,217,191
2829.jpg,train,0,4128,3096,255,192,1,1,254,191
2834.jpg,train,0,4128,3096,255,192,1,50,239,191
2835.jpg,train,0,4128,3096,197,192,1,1,133,161
2837.jpg,train,0,4128,3096,255,192,1,1,254,191
2838.jpg,train,0,4128,3096,214,192,23,1,213,176
2839.jpg,train,0,4160,3120,155,158,1,37,154,157
2842.jpg,train,0,4160,3120,254,192,51,32,191,165
2843.jpg,train,0,4128,3096,255,192,44,58,169,191
2849.jpg,train,0,4128,3096,255,192,1,1,254,191
2858.jpg,train,0,4160,3120,255,192,1,1,254,191
2862.jpg,train,0,3264,2448,255,192,1,1,236,191
2864.jpg,train,0,640,480,223,181,1,20,222,180
2869.jpg,train,0,4128,3096,255,192,1,1,254,191
2871.jpg,train,0,4160,3120,222,186,33,25,186,164
2876.jpg,train,0,4128,3096,197,192,38,28,170,168
2877.jpg,train,0,4160,3120,255,192,61,1,254,145
2883.jpg,train,0,4128,3096,255,192,67,42,200,191
2905.jpg,train,0,4128,3096,255,192,1,1,231,191
2906.jpg,train,0,4160,3120,255,192,1,1,238,154
2909.jpg,train,0,4128,3096,255,192,1,1,254,191
291.jpg,train,0,4160,3120,255,192,1,1,236,191
2912.jpg,train,0,4128,3096,255,192,1,1,254,191
2920.jpg,train,0,4128,3096,255,192,32,1,191,191
